CDSCode,School,Street,StreetAbr,City,Zip,State,EILCode,Virtual,Latitude,Longitude,LastUpDate,AddrZip,SmallZip,Address
37737910116467,Joli Ann Leichtag Elementary,653 Poinsettia Avenue,653 Poinsettia Ave.,Vista,92081-8113,CA,ELEM,N,33.155513,-117.21079,2020-08-13,92081,92081.0,"653 Poinsettia Avenue, Vista, CA, 92081"
37737910131433,Double Peak,111 San Elijo Road,111 San Elijo Rd.,San Marcos,92078-2051,CA,ELEM,N,33.106382,-117.16582,2020-08-13,92078,92078.0,"111 San Elijo Road, San Marcos, CA, 92078"
37737910138222,Pivot Charter School - San Diego II,1030 La Bonita Drive Suite 100,1030 La Bonita Dr. Ste. 100,San Marcos,92078-5291,CA,ELEMHIGH,V,33.124043,-117.20913,2020-08-13,92078,92078.0,"1030 La Bonita Drive Suite 100, San Marcos, CA, 92078"
37737913730215,Twin Oaks High,158 Cassou Road,158 Cassou Rd.,San Marcos,92069-9702,CA,HS,N,33.179778,-117.1591,2020-08-13,92069,92069.0,"158 Cassou Road, San Marcos, CA, 92069"
37737913730793,Foothills High,158 Cassou Road,158 Cassou Rd.,San Marcos,92069-9702,CA,HS,N,33.180651,-117.15868,2020-08-13,92069,92069.0,"158 Cassou Road, San Marcos, CA, 92069"
37737913730918,San Marcos Adult,158 Cassou Road,158 Cassou Rd.,San Marcos,92069-9702,CA,HS,N,33.178187,-117.15659,2020-08-13,92069,92069.0,"158 Cassou Road, San Marcos, CA, 92069"
37737913737632,San Marcos High,1615 San Marcos Boulevard,1615 San Marcos Blvd.,San Marcos,92078-4020,CA,HS,N,33.131215,-117.20543,2020-08-13,92078,92078.0,"1615 San Marcos Boulevard, San Marcos, CA, 92078"
37737916039069,La Mirada Academy,3697 La Mirada Drive,3697 La Mirada Dr.,San Marcos,92078-2312,CA,ELEM,N,33.143808,-117.20381,2019-02-13,92078,92078.0,"3697 La Mirada Drive, San Marcos, CA, 92078"
37737916039077,Richland Elementary,910 Borden Road,910 Borden Rd.,San Marcos,92069-2199,CA,ELEM,N,33.154751,-117.14016,2020-08-13,92069,92069.0,"910 Borden Road, San Marcos, CA, 92069"
37737916039085,San Marcos Elementary,1 Tiger Way,1 Tiger Way,San Marcos,92069-2703,CA,ELEM,N,33.14128,-117.16829,2020-08-13,92069,92069.0,"1 Tiger Way, San Marcos, CA, 92069"
